pid|name|address|city|state|zip|lon|lat|chainid|psic|allsics|res_type
10006564|Osi Collection Services|1902  96th St|Tacoma|WA|98444|-122.463494|47.169262||73229902|73229902:|
10007044|Oslo Salon And Day Spa|1310 N I St|Tacoma|WA|98403|-122.467315|47.267209||72310000|72310000:79910103:72990200:|
10026254|Outback Steakhouse|3111 S 38th St|Tacoma|WA|98409|-122.47671|47.222606|505|58120802|58120802:|
10026470|Outback Steakhouse|12920  Meridian |Puyallup|WA|98373|-122.29378|47.138637|505|58120802|58120802:|
10031763|Outrigger Apartments|6102  6th Ave|Tacoma|WA|98406|-122.519337|47.254579||65130000|65130000:72999901:|
10033564|Over The Moon Cafe|709  Court C |Tacoma|WA|98402|-122.441573|47.257376||58129902|58129902:|
10038863|Ovist and Howard CPA|7509  Grange St|Lakewood|WA|98499|-122.515952|47.189068||87210101|87210101:|
10048072|C Christian Fynboe Pe|12181  C St|Tacoma|WA|98444|-122.436881|47.14566||87119903|87119903:87110404:|
10057498|P A M Group Home|619  7th Ave|Puyallup|WA|98372|-122.285253|47.186368||83610105|83610105:|
10058705|P C Cleaners|17707  Pacific Ave|Spanaway|WA|98387|-122.434744|47.096251||72160000|72160000:|
10060013|Parent Child Assistance Program-Uw Tacoma|3630 S Cedar St|Tacoma|WA|98409|-122.477085|47.224747||83220610|83220610:|
10064288|Barclays Realty|13414  Meridian |Puyallup|WA|98373|-122.293835|47.134095||65310100|65310100:|
10064372|P M & Co|9315  Gravelly Lake Dr|Lakewood|WA|98499|-122.516991|47.172848||72310000|72310000:|
10070144|Pac 40|3850  Pacific Ave|Tacoma|WA|98418|-122.434484|47.221304||58130101|58130101:58120310:|
10075107|Pacific Auto Air|9442  Pacific Ave|Tacoma|WA|98444|-122.434278|47.171002||55310101|55310101:75390000:75490000:75380000:|
1007518|Arabella Vitall Day Spa|10215  125th Street Ct|Puyallup|WA|98374|-122.291975|47.142708||79910103|79910103:72990200:|
10075295|Pacific Avenue Motors|8428  Pacific Ave|Tacoma|WA|98444|-122.43453|47.179611||55219902|55219902:|
10075298|VCA Pacific Avenue Animal Hospital|10234  Pacific Ave|Tacoma|WA|98444|-122.434997|47.163145||07420000|07420000:|
10076334|Pacific Cataract and Laser Institute|2915 S Alder St|Tacoma|WA|98409|-122.477475|47.233963||80110000|80110000:80310000:|
10076869|Pacific Coast Composites|11302  Steele St|Lakewood|WA|98499|-122.468493|47.15477||||
10076891|Pacific Coast Container|2018 E Portland Ave|Tacoma|WA|98421|-122.416895|47.248371||42260200|42260200:|
10077549|Pacific Coast Publishing Inc|1551  Broadway |Tacoma|WA|98402|-122.438826|47.248533||27419900|27419900:27310000:|
10077810|Pacific Coast Water Works|1298  Moorlands Dr|Tacoma|WA|98405|-122.503205|47.246696||73899948|73899948:49410101:|
10081225|Steve's Pacific Import Auto Inc|13311  Pacific Ave|Tacoma|WA|98444|-122.434419|47.136167||75390000|75390000:75490000:75380000:|
10081911|Pacific Lanes|7015 S D St|Tacoma|WA|98408|-122.435904|47.193024||79339900|79339900:58120000:|
10083131|Pacific Mount Inc|4727 S Washington St|Tacoma|WA|98409|-122.484792|47.214465||50430000|50430000:38610000:|
10083728|Pacific Northwest Storage|112  168th St|Spanaway|WA|98387|-122.43253|47.104361||42259900|42259900:42260200:42269901:|
10084576|Pacific Pizza Co|9131  Veterans Dr|Lakewood|WA|98498|-122.559473|47.14453||58120600|58120600:|
10084711|Pacific Point Apts|1801 S 84th St|Tacoma|WA|98444|-122.46054|47.181479||65130000|65130000:72999901:|
10087289|Pacific Recording Studios|2328  Pacific Ave|Tacoma|WA|98402|-122.435942|47.240654||73891105|73891105:|
10088739|Pacific Tradewinds|4640  67th Avenue Ct|Tacoma|WA|98466|-122.527383|47.215066||57130000|57130000:|
10089363|Pacific Village Apts|315  125th St|Tacoma|WA|98444|-122.436518|47.143885||65130000|65130000:72999901:|
10098190|Wayne H Page Certified Public Accountant|13921  Meridian |Puyallup|WA|98373|-122.292339|47.129592||87210101|87210101:|
